contract_id,contract_value,description
input_official_calendar,outputs/phase340/phase340_official_catalyst_calendar.csv,Official catalyst source only.
input_no_lookahead_eligibility,outputs/phase341/phase341_no_lookahead_official_catalyst_eligibility_ledger.csv,Use no-lookahead catalyst timing.
input_real_trade_diagnostic,outputs/phase342/phase342_real_day_trade_diagnostic_ledger.csv,"Use as clue/control evidence, not as tuned labels."
phase343_failed_survivor_closed,1,Failed synthetic survivor remains closed.
family_rows,4,Search family count.
grid_rows,67,Phase345 scenario grid rows.
material_new_required,1,"Official-catalyst-native, real-L2/full-depth search only."
negative_control_required,1,Include failed survivor replay as negative control only.
full_top_five_depth_required,1,"Use top-five bid/ask price, quantity, and order-count fields."
levels_2_to_5_materiality_required,1,Depth beyond L1 must be material.
l1_only_allowed,0,No L1-only variants.
no_lookahead_required,1,No future catalyst or price information at signal time.
fixed_capital_denominator_required,1,No unlimited-capital annualization.
cost_profile_required,zerodha_2x_all_in_cost_proxy,Keep 2x Zerodha all-in cost stress.
cost_model_version,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,Pinned cost model.
annualized_threshold_pct,12.0,Keep user threshold.
robust_event_floor,30,Do not accept sparse pockets below 30 events.
controls_required,side_flip;random_side;category_shuffle_or_feature_shuffle,Controls must run in execution phase.
paper_or_live_allowed,0,No paper/live acceptance.
deployable_profitability_claim_allowed,0,No deployable profitability claim.
phase345_execution_allowed_next,1,Open Phase345 execution if gates pass.
