strategy_id,acceptance_status,economic_frontier_rows,retail_stress_rows,net_positive_proxy_rows,retail_stress_net_positive_proxy_rows,risk_adjusted_joint_pass_rows,documented_zerodha_formula_ready,broker_contract_note_reconciliation_ready,missing_reconciliation_items,economic_acceptance_ready_now,readiness_status,required_next_evidence
S01,blocked_not_promotable,3,2,1,1,0,True,False,13,False,blocked_broker_contract_note_and_actual_fill_reconciliation_missing,Broker contract-note rows and broker/exchange fill records reconciled to Phase 12 order-formula charge components and net P&L.
S02,blocked_not_promotable,3,2,0,0,0,True,False,13,False,blocked_broker_contract_note_and_actual_fill_reconciliation_missing,Broker contract-note rows and broker/exchange fill records reconciled to Phase 12 order-formula charge components and net P&L.
S03,blocked_not_promotable,3,2,1,1,0,True,False,13,False,blocked_broker_contract_note_and_actual_fill_reconciliation_missing,Broker contract-note rows and broker/exchange fill records reconciled to Phase 12 order-formula charge components and net P&L.
S04,blocked_not_promotable,3,2,0,0,0,True,False,13,False,blocked_broker_contract_note_and_actual_fill_reconciliation_missing,Broker contract-note rows and broker/exchange fill records reconciled to Phase 12 order-formula charge components and net P&L.
S05,blocked_not_promotable,3,2,1,0,0,True,False,13,False,blocked_broker_contract_note_and_actual_fill_reconciliation_missing,Broker contract-note rows and broker/exchange fill records reconciled to Phase 12 order-formula charge components and net P&L.
S06,blocked_not_promotable,3,2,1,0,0,True,False,13,False,blocked_broker_contract_note_and_actual_fill_reconciliation_missing,Broker contract-note rows and broker/exchange fill records reconciled to Phase 12 order-formula charge components and net P&L.
S07,blocked_not_promotable,3,2,0,0,0,True,False,13,False,blocked_broker_contract_note_and_actual_fill_reconciliation_missing,Broker contract-note rows and broker/exchange fill records reconciled to Phase 12 order-formula charge components and net P&L.
S08,blocked_not_promotable,3,2,0,0,0,True,False,13,False,blocked_broker_contract_note_and_actual_fill_reconciliation_missing,Broker contract-note rows and broker/exchange fill records reconciled to Phase 12 order-formula charge components and net P&L.
S09,blocked_not_promotable,3,2,0,0,0,True,False,13,False,blocked_broker_contract_note_and_actual_fill_reconciliation_missing,Broker contract-note rows and broker/exchange fill records reconciled to Phase 12 order-formula charge components and net P&L.
S10,blocked_not_promotable,0,0,0,0,0,True,False,13,False,blocked_broker_contract_note_and_actual_fill_reconciliation_missing,Broker contract-note rows and broker/exchange fill records reconciled to Phase 12 order-formula charge components and net P&L.
S11,blocked_not_promotable,0,0,0,0,0,True,False,13,False,blocked_broker_contract_note_and_actual_fill_reconciliation_missing,Broker contract-note rows and broker/exchange fill records reconciled to Phase 12 order-formula charge components and net P&L.
