symbol,metric,gap_direction,real_value,synthetic_value,synthetic_to_real_ratio,proposed_action,proposed_raw_multiplier,implementation_rationale
AXISBANK,median_abs_l1_imbalance,synthetic_too_low,0.5495978552278821,0.0224089635854341,0.0407733825237412,add_symbol_l1_imbalance_skew_override,4.0,L1 imbalance is too damped for this symbol; amplify side imbalance while preserving positive quantities.
BAJAJ-AUTO,median_abs_l1_imbalance,synthetic_too_low,0.5789473684210527,0.0,0.0,add_symbol_l1_imbalance_skew_override,4.0,L1 imbalance is too damped for this symbol; amplify side imbalance while preserving positive quantities.
BHARTIARTL,median_abs_l1_imbalance,synthetic_too_low,0.5478260869565217,0.0797720797720797,0.1456157011712567,add_symbol_l1_imbalance_skew_override,4.0,L1 imbalance is too damped for this symbol; amplify side imbalance while preserving positive quantities.
BPCL,median_abs_l1_imbalance,synthetic_too_low,0.6534859521331946,0.0528052805280528,0.0808055327825776,add_symbol_l1_imbalance_skew_override,4.0,L1 imbalance is too damped for this symbol; amplify side imbalance while preserving positive quantities.
BRITANNIA,median_abs_l1_imbalance,synthetic_too_low,0.5420363329108576,0.0,0.0,add_symbol_l1_imbalance_skew_override,4.0,L1 imbalance is too damped for this symbol; amplify side imbalance while preserving positive quantities.
HINDUNILVR,median_abs_l1_imbalance,synthetic_too_low,0.6277653381101658,0.0730897009966777,0.116428379458968,add_symbol_l1_imbalance_skew_override,4.0,L1 imbalance is too damped for this symbol; amplify side imbalance while preserving positive quantities.
INFY,median_abs_l1_imbalance,synthetic_too_low,0.7581573896353166,0.1875,0.2473101265822785,add_symbol_l1_imbalance_skew_override,4.0,L1 imbalance is too damped for this symbol; amplify side imbalance while preserving positive quantities.
KOTAKBANK,median_abs_l1_imbalance,synthetic_too_low,0.6708571428571428,0.1505681818181818,0.2244414975995044,add_symbol_l1_imbalance_skew_override,4.0,L1 imbalance is too damped for this symbol; amplify side imbalance while preserving positive quantities.
LT,median_abs_l1_imbalance,synthetic_too_low,0.5492957746478874,0.0903954802259887,0.1645661306678255,add_symbol_l1_imbalance_skew_override,4.0,L1 imbalance is too damped for this symbol; amplify side imbalance while preserving positive quantities.
MARUTI,median_abs_l1_imbalance,synthetic_too_low,0.592948717948718,0.1326530612244898,0.2237175951461666,add_symbol_l1_imbalance_skew_override,4.0,L1 imbalance is too damped for this symbol; amplify side imbalance while preserving positive quantities.
ONGC,median_abs_l1_imbalance,synthetic_too_low,0.6120805369127517,0.0476190476190476,0.0777986633249791,add_symbol_l1_imbalance_skew_override,4.0,L1 imbalance is too damped for this symbol; amplify side imbalance while preserving positive quantities.
SBIN,median_abs_l1_imbalance,synthetic_too_low,0.6489188956738625,0.0476190476190476,0.0733821251569476,add_symbol_l1_imbalance_skew_override,4.0,L1 imbalance is too damped for this symbol; amplify side imbalance while preserving positive quantities.
TCS,median_abs_l1_imbalance,synthetic_too_low,0.6826086956521739,0.0071770334928229,0.01051412549904,add_symbol_l1_imbalance_skew_override,4.0,L1 imbalance is too damped for this symbol; amplify side imbalance while preserving positive quantities.
