strategy_id,strategy_name,baseline,promotion_allowed_now,current_evidence_label
S01,Momentum/breakout filtered by MLOFI,random_direction_matched_trade_frequency,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,buy_and_hold_intraday_control,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,simple_short_term_momentum,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,opening_range_breakout,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,vwap_continuation,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,short_term_mean_reversion,False,engineering_and_within_day_falsification_only
S01,Momentum/breakout filtered by MLOFI,volatility_breakout,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,random_direction_matched_trade_frequency,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,buy_and_hold_intraday_control,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,simple_short_term_momentum,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,opening_range_breakout,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,vwap_continuation,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,short_term_mean_reversion,False,engineering_and_within_day_falsification_only
S02,Pure multi-level OFI directional model,volatility_breakout,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,random_direction_matched_trade_frequency,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,buy_and_hold_intraday_control,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,simple_short_term_momentum,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,opening_range_breakout,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,vwap_continuation,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,short_term_mean_reversion,False,engineering_and_within_day_falsification_only
S03,Liquidity-vacuum breakout,volatility_breakout,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,random_direction_matched_trade_frequency,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,buy_and_hold_intraday_control,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,simple_short_term_momentum,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,opening_range_breakout,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,vwap_continuation,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,short_term_mean_reversion,False,engineering_and_within_day_falsification_only
S04,Trade-flow plus depth confirmation,volatility_breakout,False,engineering_and_within_day_falsification_only
